brand,model,generation,25%,75%
ACURA,CL,II,850000.0,850000.0
ACURA,EL,I,250000.0,250000.0
ACURA,ILX,I РЕСТАЙЛИНГ 2,2000000.0,2359750.0
ACURA,MDX,I,500000.0,655000.0
ACURA,MDX,II,945000.0,1350000.0
ACURA,MDX,II РЕСТАЙЛИНГ,1562500.0,2262500.0
ACURA,MDX,III,2292500.0,2600000.0
ACURA,MDX,III РЕСТАЙЛИНГ 1,2650000.0,2845000.0
ACURA,MDX,III РЕСТАЙЛИНГ 2,3752500.0,4236750.0
ACURA,MDX,IV,8097500.0,10075153.0
ACURA,NSX,II,20860000.0,20860000.0
ACURA,RDX,I,1050000.0,1400000.0
ACURA,RDX,I РЕСТАЙЛИНГ,1160000.0,1412500.0
ACURA,RDX,II,1876750.0,2130250.0
ACURA,RDX,III,3164250.0,4097500.0
ACURA,RL,II,800000.0,800000.0
ACURA,RSX,I,625000.0,750000.0
ACURA,TL,II,466500.0,555500.0
ACURA,TLX,I,1675000.0,1849500.0
ACURA,TLX,I РЕСТАЙЛИНГ,2100000.0,2275000.0
ACURA,TSX,II,1272500.0,1365000.0
ALFA ROMEO,145,I,168750.0,176250.0
ALFA ROMEO,147,I,380000.0,537750.0
ALFA ROMEO,147,I РЕСТАЙЛИНГ,420000.0,600000.0
ALFA ROMEO,155,I,136750.0,170250.0
ALFA ROMEO,156,I,195000.0,381250.0
ALFA ROMEO,156,I РЕСТАЙЛИНГ 1,251250.0,443750.0
ALFA ROMEO,156,I РЕСТАЙЛИНГ 2,250000.0,480000.0
ALFA ROMEO,164,I,99600.0,99600.0
ALFA ROMEO,164,I РЕСТАЙЛИНГ,192500.0,615000.0
ALFA ROMEO,166,I,400000.0,486750.0
ALFA ROMEO,166,I РЕСТАЙЛИНГ,480000.0,480000.0
ALFA ROMEO,33,I РЕСТАЙЛИНГ,650000.0,650000.0
ALFA ROMEO,75,I,280000.0,280000.0
ALFA ROMEO,GIULIA,II (952),2955000.0,4470000.0
ALFA ROMEO,GIULIETTA,III,997500.0,1424250.0
ALFA ROMEO,MITO,I,732250.0,776750.0
ALFA ROMEO,MITO,I РЕСТАЙЛИНГ,1100000.0,1400000.0
ALFA ROMEO,SPIDER,II,685000.0,755000.0
ALFA ROMEO,SPIDER,III,1600000.0,3050000.0
AUDI,100,I (C1),350000.0,350000.0
AUDI,100,II (C2),100000.0,162500.0
AUDI,100,III (C3),65000.0,122000.0
AUDI,100,III (C3) РЕСТАЙЛИНГ,100000.0,156000.0
AUDI,100,IV (C4),150000.0,280000.0
AUDI,200,II (C3),153750.0,212500.0
AUDI,200,II (C3) РЕСТАЙЛИНГ,96250.0,158750.0
AUDI,80,III (B2),65500.0,105000.0
AUDI,80,IV (B3),75000.0,160000.0
AUDI,80,V (B4),160000.0,260000.0
AUDI,90,I (B2),145000.0,575000.0
AUDI,90,II (B3),96250.0,155000.0
AUDI,A1,I (8X),820000.0,1100000.0
AUDI,A1,I (8X) РЕСТАЙЛИНГ,1287500.0,1500000.0
AUDI,A1,II (GB),2415000.0,2610000.0
AUDI,A3,I (8L),205555.5,315000.0
AUDI,A3,I (8L) РЕСТАЙЛИНГ,250000.0,359000.0
AUDI,A3,II (8P),425000.0,599000.0
AUDI,A3,II (8P) РЕСТАЙЛИНГ 1,511000.0,700000.0
AUDI,A3,II (8P) РЕСТАЙЛИНГ 2,615000.0,820000.0
AUDI,A3,III (8V),1130000.0,1360000.0
AUDI,A3,III (8V) РЕСТАЙЛИНГ,1829591.75,2136000.0
AUDI,A3,IV (8Y),3071750.0,3412500.0
AUDI,A4,I (B5),160000.0,255000.0
AUDI,A4,I (B5) РЕСТАЙЛИНГ,260000.0,365000.0
AUDI,A4,II (B6),345000.0,460000.0
AUDI,A4,III (B7),540000.0,650000.0
AUDI,A4,IV (B8),750000.0,999995.0
AUDI,A4,IV (B8) РЕСТАЙЛИНГ,1120000.0,1415000.0
AUDI,A4,V (B9),1890000.0,2399999.0
AUDI,A4,V (B9) РЕСТАЙЛИНГ,3165800.0,3900000.0
AUDI,A4 ALLROAD,IV (B8),1125000.0,1265000.0
AUDI,A4 ALLROAD,IV (B8) РЕСТАЙЛИНГ,1438750.0,1807500.0
AUDI,A4 ALLROAD,V (B9),2750000.0,3433697.25
AUDI,A4 ALLROAD,V (B9) РЕСТАЙЛИНГ,3895500.0,4500000.0
AUDI,A5,I (8T),790000.0,1070000.0
AUDI,A5,I (8T) РЕСТАЙЛИНГ,1290000.0,1590000.0
AUDI,A5,II (F5),2900000.0,3399000.0
AUDI,A5,II (F5) РЕСТАЙЛИНГ,3626250.0,4676750.0
AUDI,A6,I (C4),248750.0,410000.0
AUDI,A6,II (C5),255000.0,350000.0
AUDI,A6,II (C5) РЕСТАЙЛИНГ,340000.0,480000.0
AUDI,A6,III (C6),587500.0,727500.0
AUDI,A6,III (C6) РЕСТАЙЛИНГ,950000.0,1100000.0
AUDI,A6,IV (C7),1400000.0,1850000.0
AUDI,A6,IV (C7) РЕСТАЙЛИНГ,1850000.0,2350000.0
AUDI,A6,V (C8),3900000.0,4761500.0
AUDI,A6 ALLROAD,I (C5),500000.0,699000.0
AUDI,A6 ALLROAD,II (C6),800000.0,1137500.0
