                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1825,                0.20485,                0.41056,                 2.4363,              0.0033309,              0.0033309,              0.0033309
                      2,                0.67753,                0.77804,                0.94537,                 2.1625,              0.0065817,              0.0065817,              0.0065817
                      3,                 0.1441,                0.92109,                0.99316,                 2.0209,              0.0097501,              0.0097501,              0.0097501
                      4,                0.04357,                0.95317,                0.99669,                 1.9864,              0.0096288,              0.0096288,              0.0096288
                      5,                0.01442,                 0.9676,                0.99636,                 1.9739,              0.0096288,              0.0096288,              0.0096288
                      6,                0.00525,                0.97167,                0.99647,                  1.969,               0.009505,               0.009505,               0.009505
                      7,                 0.0024,                0.97306,                0.99615,                 1.9684,              0.0093813,              0.0093813,              0.0093813
                      8,                 0.0018,                0.97135,                0.99615,                 1.9686,              0.0092575,              0.0092575,              0.0092575
                      9,                0.00202,                0.97316,                0.99658,                 1.9669,              0.0091337,              0.0091337,              0.0091337
                     10,                0.00162,                0.97231,                0.99647,                 1.9674,                0.00901,                0.00901,                0.00901
                     11,                0.00094,                0.97316,                0.99658,                 1.9664,              0.0088863,              0.0088863,              0.0088863
                     12,                 0.0006,                0.97402,                0.99679,                 1.9659,              0.0087625,              0.0087625,              0.0087625
                     13,                0.00073,                 0.9753,                0.99679,                 1.9659,              0.0086388,              0.0086388,              0.0086388
                     14,                0.00044,                0.97584,                0.99679,                 1.9653,               0.008515,               0.008515,               0.008515
                     15,                0.00036,                0.97562,                0.99679,                 1.9651,              0.0083913,              0.0083913,              0.0083913
                     16,                0.00031,                0.97605,                0.99711,                 1.9651,              0.0082675,              0.0082675,              0.0082675
                     17,                0.00034,                0.97455,                0.99701,                 1.9658,              0.0081437,              0.0081437,              0.0081437
                     18,                0.00031,                0.97584,                0.99701,                 1.9647,                0.00802,                0.00802,                0.00802
                     19,                0.00027,                0.97605,                0.99722,                 1.9643,              0.0078963,              0.0078963,              0.0078963
                     20,                0.00025,                0.97712,                0.99722,                 1.9644,              0.0077725,              0.0077725,              0.0077725
                     21,                0.00026,                0.97616,                0.99711,                 1.9646,              0.0076488,              0.0076488,              0.0076488
                     22,                 0.0011,                0.97562,                0.99711,                 1.9656,               0.007525,               0.007525,               0.007525
                     23,                0.00265,                0.97445,                0.99711,                 1.9668,              0.0074013,              0.0074013,              0.0074013
                     24,                0.00264,                 0.9752,                0.99669,                 1.9657,              0.0072775,              0.0072775,              0.0072775
                     25,                 0.0054,                0.97177,                0.99615,                 1.9671,              0.0071538,              0.0071538,              0.0071538
                     26,                0.01414,                0.97445,                0.99743,                 1.9667,                0.00703,                0.00703,                0.00703
                     27,                0.01601,                0.97381,                0.99743,                 1.9656,              0.0069063,              0.0069063,              0.0069063
                     28,                0.01013,                0.97744,                0.99701,                 1.9648,              0.0067825,              0.0067825,              0.0067825
                     29,                0.00646,                0.97552,                 0.9969,                 1.9647,              0.0066587,              0.0066587,              0.0066587
                     30,                0.00434,                0.97562,                0.99701,                 1.9646,               0.006535,               0.006535,               0.006535
                     31,                0.00226,                 0.9752,                0.99711,                 1.9644,              0.0064112,              0.0064112,              0.0064112
                     32,                0.00142,                 0.9768,                0.99636,                  1.964,              0.0062875,              0.0062875,              0.0062875
                     33,                0.00045,                0.97691,                0.99679,                 1.9637,              0.0061637,              0.0061637,              0.0061637
                     34,                0.00034,                0.97733,                0.99701,                 1.9635,                0.00604,                0.00604,                0.00604
                     35,                0.00023,                0.97744,                 0.9969,                 1.9635,              0.0059163,              0.0059163,              0.0059163
                     36,                0.00015,                0.97712,                0.99701,                 1.9635,              0.0057925,              0.0057925,              0.0057925
                     37,                0.00015,                0.97691,                0.99711,                 1.9634,              0.0056688,              0.0056688,              0.0056688
                     38,                0.00015,                0.97701,                0.99711,                 1.9632,               0.005545,               0.005545,               0.005545
                     39,                0.00016,                0.97744,                0.99711,                 1.9631,              0.0054212,              0.0054212,              0.0054212
                     40,                0.00017,                0.97712,                0.99711,                  1.963,              0.0052975,              0.0052975,              0.0052975
                     41,                0.00014,                0.97712,                0.99711,                 1.9629,              0.0051737,              0.0051737,              0.0051737
                     42,                0.00014,                0.97755,                0.99722,                 1.9629,                0.00505,                0.00505,                0.00505
                     43,                0.00013,                0.97787,                0.99722,                 1.9629,              0.0049263,              0.0049263,              0.0049263
                     44,                0.00012,                0.97797,                0.99733,                 1.9629,              0.0048025,              0.0048025,              0.0048025
                     45,                0.00011,                0.97787,                0.99733,                 1.9629,              0.0046788,              0.0046788,              0.0046788
                     46,                0.00013,                0.97797,                0.99733,                 1.9628,               0.004555,               0.004555,               0.004555
                     47,                0.00013,                0.97755,                0.99722,                 1.9628,              0.0044313,              0.0044313,              0.0044313
                     48,                0.00012,                0.97755,                0.99743,                 1.9628,              0.0043075,              0.0043075,              0.0043075
                     49,                0.00012,                0.97733,                0.99743,                 1.9628,              0.0041837,              0.0041837,              0.0041837
                     50,                0.00012,                0.97723,                0.99765,                 1.9628,                0.00406,                0.00406,                0.00406
                     51,                0.00011,                0.97723,                0.99765,                 1.9628,              0.0039362,              0.0039362,              0.0039362
                     52,                0.00012,                0.97712,                0.99775,                 1.9628,              0.0038125,              0.0038125,              0.0038125
                     53,                0.00012,                0.97723,                0.99775,                 1.9627,              0.0036888,              0.0036888,              0.0036888
                     54,                0.00012,                0.97723,                0.99775,                 1.9627,               0.003565,               0.003565,               0.003565
                     55,                0.00011,                0.97723,                0.99775,                 1.9627,              0.0034413,              0.0034413,              0.0034413
                     56,                0.00012,                0.97733,                0.99775,                 1.9627,              0.0033175,              0.0033175,              0.0033175
                     57,                0.00012,                0.97723,                0.99775,                 1.9627,              0.0031938,              0.0031938,              0.0031938
                     58,                0.00012,                0.97723,                0.99786,                 1.9627,                0.00307,                0.00307,                0.00307
                     59,                0.00012,                0.97733,                0.99786,                 1.9627,              0.0029462,              0.0029462,              0.0029462
                     60,                0.00013,                0.97733,                0.99786,                 1.9627,              0.0028225,              0.0028225,              0.0028225
                     61,                0.00014,                0.97733,                0.99775,                 1.9627,              0.0026987,              0.0026987,              0.0026987
                     62,                0.00012,                0.97723,                0.99775,                 1.9627,               0.002575,               0.002575,               0.002575
                     63,                0.00013,                0.97723,                0.99775,                 1.9627,              0.0024513,              0.0024513,              0.0024513
